year,ACCESS1-0_historical_r1i1p1-longest_run_tmax_abv,bcc-csm1-1_historical_r1i1p1-longest_run_tmax_abv,BNU-ESM_historical_r1i1p1-longest_run_tmax_abv,CanESM2_historical_r1i1p1-longest_run_tmax_abv,CCSM4_historical_r1i1p1-longest_run_tmax_abv,CESM1-BGC_historical_r1i1p1-longest_run_tmax_abv,CNRM-CM5_historical_r1i1p1-longest_run_tmax_abv,CSIRO-Mk3-6-0_historical_r1i1p1-longest_run_tmax_abv,GFDL-CM3_historical_r1i1p1-longest_run_tmax_abv,GFDL-ESM2G_historical_r1i1p1-longest_run_tmax_abv,GFDL-ESM2M_historical_r1i1p1-longest_run_tmax_abv,inmcm4_historical_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-LR_historical_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-MR_historical_r1i1p1-longest_run_tmax_abv,MIROC-ESM-CHEM_historical_r1i1p1-longest_run_tmax_abv,MIROC-ESM_historical_r1i1p1-longest_run_tmax_abv,MIROC5_historical_r1i1p1-longest_run_tmax_abv,MPI-ESM-LR_historical_r1i1p1-longest_run_tmax_abv,MPI-ESM-MR_historical_r1i1p1-longest_run_tmax_abv,MRI-CGCM3_historical_r1i1p1-longest_run_tmax_abv,NorESM1-M_historical_r1i1p1-longest_run_tmax_abv
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,0.0034171303,0.0,0.37777916,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.2653456,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0034171303,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437254,0.0,0.0068342607
1954,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3881692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09535723,0.0,0.0
1956,0.0,0.0,0.05528708,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44530308,0.0
1957,0.0,0.0,0.0,0.10901643,0.0,0.0,0.09535723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919401,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.3709449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.020493463,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.49277356,0.0,0.0,0.0,0.0
1961,0.0,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.023910593,0.0,0.020493463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79883325,0.0919401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0
1964,0.0034171303,0.0,0.0,0.0,0.09877436,0.0,0.35392904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46835738,0.0,0.0
1965,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.1734055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.0,0.346811,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.23916727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.09877436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10901643,0.0,0.0034171303,0.0
1970,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.098689705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.010251391,0.62577546
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0034171303,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09535723,0.0,0.0,0.0,0.0034171303,0.291965,0.0,0.0
1975,0.0,0.0,0.0068342607,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.020493463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0035651012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051228996,0.0,0.0,0.0068342607,0.0034171303,0.0,0.0068342607,0.0
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0035651012,0.0
1979,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0034171303,0.0,0.0034171303,0.0034171303,0.0,0.0,0.0068342607,0.0,0.0034171303,0.0,0.20755817
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4023214,0.0,0.0
1981,0.0034171303,0.09877436,0.017076332,0.0034171303,0.0068342607,0.0,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0
1986,0.0,0.0034171303,0.0,0.28697914,0.0,0.0,0.0,0.0,0.0,0.19071446,0.0,0.0,0.0,0.020493463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0068342607,0.0,0.0,0.0,0.08161337,0.0,0.0,0.0,0.0,0.0,0.3274576,0.0,0.40565386,0.0,0.0,0.0,0.0,0.10233946,0.0,0.0034171303
1988,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.44872022,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.09535723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34134945,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0069822315,0.0,1.4797082E-4,0.0,0.0034171303,0.37436202,0.0,0.0,0.0034171303,0.0034171303,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.0
1991,0.0034171303,0.017076332,0.0,0.0,0.0,0.0034171303,0.0,0.010251391,0.09535723,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.0,0.0,0.0034171303,0.11599866,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0034171303
1993,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0
1994,0.0,0.0068342607,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4581153,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.24940935
1995,0.0,0.0,0.0,0.0,0.0035651012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4797082E-4,0.36085078,0.0,0.0,0.0,0.36417112,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.08488253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0,0.8405224,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0034171303,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.017076332,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.55649084,0.0,0.0,0.0034171303,0.0068342607,0.0,0.020493463,0.0,0.0,0.0,0.0,1.8222157,0.0,0.0,0.0,0.010251391,0.0034171303,0.0034171303,0.0,0.010251391
2000,0.26192847,0.0,0.020641433,0.020493463,1.4357646,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.7949704,0.0034171303,0.0,0.0,0.0,0.17004886,0.0034171303,0.0,0.0,0.0
2001,0.0,0.0034171303,0.051228996,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0068342607,0.0034171303,0.27559698,0.0,0.0,0.0034171303,0.017076332,0.0,0.0,0.0
2002,0.0,0.0,0.0034171303,0.337709,0.0034171303,0.0068342607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.9032321,0.0,0.0
2003,0.0034171303,0.0,0.0068342607,0.010251391,0.0068342607,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.35065988,0.0,0.0,0.0,0.0,0.020641433,0.0068342607,0.29289663,0.0
2004,0.0034171303,0.0,0.024058564,0.2825699,0.0,0.0,0.0,0.0,0.020493463,0.0,0.0068342607,1.0589803,0.0,0.0034171303,0.0,0.0,0.0034171303,0.0034171303,0.09877436,0.0,0.0
